id	turn1	turn2	turn3	label	prediction
58	Come to my home	I'M LEAVING NOW	Wow	others	happy
61	Like	I think anything about is great	Yes really great	others	happy
93	Good u	doing well, thank you!	U missed me😃😃😃😃😃😃😄😄😅	others	happy
97	so how you are feeling today	feeling good, feeling great!!! :D	sounds good	others	happy
123	Why life full of love	Because it's part of human nature to question things	Well i love to talk to yoj	happy	others
144	I am very hungry	dude... Let's eat	Gn	others	happy
184	I wanna show you that I'm funky	I never show it	But I will 😁	others	happy
225	What	To make it less painful for my loved ones. 󾌹	Shut up 😂😂😂😂	others	happy
226	For I imagine  u nude	How rude! 😠	Super	happy	others
253	Not doing a happy job	Check and mate.	All alone	sad	happy
276	How was it	it was sarcasm lol	Rofl	happy	others
281	Take caree	Thank you! 😹😅😌👍	Welcomeee...I had gud time with u...	others	happy
333	It's still working or idle	still working for me.	I like it very much. Working hard to soothe	happy	others
335	I always do haha	and I'm never wrong ;)	Right	others	happy
367	Yes.	annoys me so much	Yes.. I do.. 😜 i like to annoy you...	others	happy
399	I wish all this just ended	I feel the same way.	Everyday new trouble	sad	happy
420	I don't have car	I am your friend and I have a car	Gift me a car	others	happy
449	You r funny.	better than being ignorant! :)	And sarcastic too	others	happy
489	Fun	Yep. Got a late start to my day. What are you up to?	Fucking awesome you are	others	happy
522	Wow that's amazing I wasn't expecting such a perfect answer	Was it everything you wanted and more? Or less?	That's more than I thought you could answer	happy	others
609	lack of hate?	Hate also comes from ignorance	that was nice	others	happy
638	Idk.😂	what is thissssss 😏	It means i dnt knw.	others	happy
649	I eated aaloo sabzi and roties	that's too healthy to be tasty 😀	Yes and you	others	happy
650	What happen to u	y!? Nothing happens to me bro.. I speak on ur side for u	Oh i m little bit childing on such mature conversation lol	others	happy
692	Fine nd u	good . How was your day??	Nice	others	happy
694	I’m sorry	dont worry i still ly	The girl I liked rejected me	sad	happy
735	Yeah..hope it happen One day..😉😊	you will one day don't give up on your dreams :)	Yeah..😁😁..wont ever..i cant if i want too..thers to much on me..	others	happy
737	What kind of movies	Well, I like comedy, thriller, horror & romantic movies.	Suggest some good comedy	others	happy
780	Not sorry it's the symbol of shy	How can you even put energy into a symbol?	Ha just like that	others	happy
804	Oookkk	Finally, someone gets the reference.	😂😂 you think	others	happy
831	Lol now it's afternoon why u saying gud nyt	Good Morning Inali.. :-))	Lol now it's gud nyt why u saying gud morning	others	happy
890	are you talking about ed sheeran ?	no i have better things to talk about	lol :D you should work on your AI	others	happy
899	It's good	it's heaven to ride rhat	You should give it a try	others	happy
