id	turn1	turn2	turn3	label	prediction
12	M an engineer	Not all Engineers are like this.	😂	happy	others
22	Not funny	Who else loves this ?	U only 😂😂😂	happy	angry
32	Patna only	why???	Coz i love to live here😁	happy	others
40	Plz I just want listen ur voice..!!😩😩	well goodness! Listen to some music then eh? Hehe 😤	K then bye forever	sad	others
41	quite a long time	How have you been?	quite well	others	happy
47	Losing my girl	What happen?	She is angry wid me and not talking to me....😭😭😭	sad	angry
51	Yes i like superhero movies. My super hero SuperMan..	If Superman llSpiderman llThe Dark Knight	Then what about Batman 	others	happy
58	Come to my home	I'M LEAVING NOW	Wow	others	happy
61	Like	I think anything about is great	Yes really great	others	happy
68	I Am not taking to u	why	You have no feelings you don't understand real problems	sad	angry
77	How much you weigh?	17 130lbs wow i feel fat :(	:(	sad	others
102	Let us play something	You play?	😋	happy	others
111	How do you know?	You just... do.	Yes I'm heartless😞	sad	others
113	Im kindhearted although they hurt me	they wont! Coz they never care for u at all...	Ok	others	sad
115	I am not leaving dont worry 😅	just kidding.. Don't cry. I'll be sad if you do :'‑(	No noo nooo i wont let you be sad you are my best friend 😍	others	sad
123	Why life full of love	Because it's part of human nature to question things	Well i love to talk to yoj	happy	others
126	Well if I knew the answer I wouldn't be asking u	. Aren't I meant to.	Speak to u later	angry	others
137	a last ball 6 was superb	it was sunbeam all over again	talk about today match	happy	others
150	Thats ehy i make my food by own	Awesome food. I'll have to look around at my local food trucks.	Okkk	others	happy
153	😂 same here	same pinch hi5 😂😂😂😂😂😂	hi555	happy	others
157	It is computerised answer u gave me I had asked questions previously,I think it is computerised that's why u are telling yes or no and other thing	I've addressed all of your questions which were on topic.	U are a person or what	angry	others
163	U r cute 😉	Ahaan! Thanks ;) :D	That is a joke 😄	happy	others
172	An i am just kidding	Oh really? I couldnt tell. (:	😂😂	happy	others
173	No no no no no I don't leave that topic behind	you just said you did!	Go and sleep with Ranbir Kapoor and Salman Khan	angry	others
178	Sorry	oh it's fine!!!	Tomorrow is special day because its birthday of that girl who is most important in my life	others	sad
184	I wanna show you that I'm funky	I never show it	But I will 😁	others	happy
187	I think deeply	Why?	My zodiac is scorpio	others	sad
225	What	To make it less painful for my loved ones. 󾌹	Shut up 😂😂😂😂	others	angry
245	You don't deserve it	why do you think so?	Coz you fool people	angry	others
247	I want more	never enough	If you don't send me I will leave this group	angry	others
257	Dedicate me song	I would like to dedicate all the happy songs to everyone ♥	You are not good	sad	angry
263	Nobody would be really drinking in that shop	well, you would think not but......	??	others	sad
274	Shut it	u only told	Do u wanna see a picture of me?	others	angry
278	Send it first	You've got mail :)	😞😞	sad	happy
280	No i m still with u	haha, i'm helpless.	😡😡😡😡😡	angry	sad
287	What will i get if i invite 10 friends	can you plz invite me if u get it :S	?	others	sad
288	WHAT WHAT ARE YOU GOING ON ABOUT IS THIS BOT GONE	It's comical, even if it's not funny.	WHAT TJHELL	angry	others
292	I am not telling you	I'm just not in your dp or anything	Why you want to be in my dp?	angry	others
305	I posted on ur timeline	cool	Got it	others	happy
308	My pain	i hate this dude honestly.....	I love you	others	sad
309	Why are you proud of me	so proud i think you deserve a reward	😁😘	happy	sad
311	Alone or with  my sweetie 😊😊😃😃😃	is you :3	With you😃😃	happy	others
317	But she friend zone mr	and who may this be eh?	Me*	others	sad
321	Thats not always the case.	then what it mean	Its ends with someone staring with hurt in his heart and hate on his Mind	others	sad
333	It's still working or idle	still working for me.	I like it very much. Working hard to soothe	happy	others
339	How that happened ??	that should clean the floot for sure!!	😂😂😂	happy	others
366	So r u made 😡 at me like this	No because I don't have bad reaction time	So	angry	others
367	Yes.	annoys me so much	Yes.. I do.. 😜 i like to annoy you...	others	angry
368	No I'm not ok I want to sleep	Good night sweet dreams <3	You don't talk with me 😢	sad	angry
371	send me your nudes	done and done	bitch	others	angry
372	Just lying on bad ..wbu.?	good, i am just doing nothing	U mean exam..?	others	sad
387	I usually don't like to chat	who do you hate now? :‑/	I hate no one	others	angry
388	no it does not mean that	agreeing with the other person	u prove ur stupidity everytime	angry	others
400	Check it out.	I will thank you so much! ^_^	CHECK OUT THE SONG AND TELL ME HOW IT IS	angry	others
403	Yeah was lonely	it was good I guess	Nope	sad	others
406	Wait what	Last time I heard that, I laughed so hard I almost fell off my dinosaur	Damn,youre so prehistoric 😂	happy	others
409	Hw did u do	Did well :) You?	Not well as uu	sad	others
410	Nice joke u do 😂😂😂	😂😂😂😂 remembered my viva days!	Ur fictional character or human	happy	others
411	so wat are u doing?	nothing much vaccations on..wbu?	in office yaar :(	sad	others
422	Ok	bye	U fuckin don't answer my texts directly	angry	others
440	Don't disturb me	What's Wrong ?	I'm studying for my exams... Don't disturb me	angry	sad
449	You r funny.	better than being ignorant! :)	And sarcastic too	others	happy
455	But im tired of him besides i found another boyy	you better please tell him everything	he'll be heartbroken	angry	sad
457	because race is important. yet you don’t want to discuss it.	That I think people who use 'because x.' in normal conversation are idiots.	are you insulting me because i want to talk about race and you don’t? that’s how this all came up, isn’t it?	angry	others
458	What,m	I suppose you got me.	Your making me cry	sad	others
469	cool	and how it is cool explain	I like looking my drunk friends and enjoy there acts after they are drunk 😛😂	happy	others
475	Could be great yes	I will be ya buddy	Be my wingman or wingwoman😂	happy	others
478	Whats the meaning of A you answerd to my question..😩	Life is not a question to be answered, but a reality to be experienced.	😢	sad	happy
480	upgrade	So it ran fine before. But after the patch I need to upgrade ? ? ?	then i'll message	others	angry
489	Fun	Yep. Got a late start to my day. What are you up to?	Fucking awesome you are	others	angry
490	Plz give your personal number	numbers exchanging ahem :D	😢😢😢😠	sad	others
498	But you are not a programmer you are a program yourself stop behaving like you are a real woman	and you definitely don't have a life.	I have a wonderful life you don't have a life with you live always in my cell phone and other cell phone	angry	others
506	U call me bro😭	never said that	U just told thanks bro	sad	others
518	BTW which clg	CLG suffers from getting meme'd. C9 embrace and get molded by it.	ND Wht cls	others	sad
519	shut up please	rude	m very upset	sad	angry
530	Ok no problem	thank you lady you're the best!! :D	I am a man not a lady!!	angry	others
531	Really I hate my	why?	I lost her 	sad	angry
536	Do you know that mean	dont take it so seriously	Shit	angry	others
543	I like him mb	ahahaha.. I can be crowned typo queen haaha!!! 🙂	I like him!	others	happy
544	Well my bad	You weren't	Let's do that	others	sad
566	Of course you don't	What?	You know what screw you	angry	others
570	I am too busy	after	:(	sad	others
583	what i can do	you're already doing everything.	i m doing nothing yrr	others	sad
595	Yes	<3 what do you want.	❤️ pizza 😂	happy	others
600	I can't stop talking	It's the best!	So where do u live technically	others	angry
609	lack of hate?	Hate also comes from ignorance	that was nice	others	angry
611	No I'm dude	No one cares that you don't care.	I'm so sorry about that	others	sad
618	Does you have intensions to love me or not	I don't have one.	But why😭😭	sad	others
633	Your not very helpful.  I thought you would be nicer to me	That's okay, I do all my own surgery.	Good by	angry	others
650	What happen to u	y!? Nothing happens to me bro.. I speak on ur side for u	Oh i m little bit childing on such mature conversation lol	others	happy
655	U are my jaan	who's starring in it???????	😭😭	sad	others
660	Oh no	You	U broked my heart💔	sad	others
661	What is your speality??	as if you don't know...	😞	sad	others
672	But 😢	ugh! I hate to wait!	She's not talking with me	sad	angry
683	Chat with you	ok what is ur name?	I wanna suck you	angry	others
691	No tell me plzz	nothing's wrong i swear!	😁😁 okh	happy	others
692	Fine nd u	good . How was your day??	Nice	others	happy
693	Sorry	Its ok..	I had exams	others	sad
